id,program_code,name,faculty,level,university_name,city,budget_places,paid_places,tuition_cost_rub_year,budget_passing_score,paid_min_score,duration,study_format,language,accreditation,total_places,budget_ratio,tuition_log,paid_min_score_missing,budget_score_missing,cluster_raw,competitiveness_class
1009,38.03.02 | Менеджмент,Управление бизнесом,Факультет Ивановского филиала РЭУ им. Г.В. Плеханова,Бакалавриат,Ивановский филиал Российского экономического университета имени Г.В. Плеханова,Иваново,,10.0,114450.0,,,0.0,Очная,Русский,государственный,,0.0,11.647902062782471,0,0,2,1
1010,38.03.02 | Менеджмент,Управление бизнесом,Факультет Ивановского филиала РЭУ им. Г.В. Плеханова,Бакалавриат,Ивановский филиал Российского экономического университета имени Г.В. Плеханова,Иваново,,13.0,51900.0,,,0.0,Очно-заочная,Русский,государственный,,0.0,10.857093336791094,0,0,2,1
1011,38.03.02 | Менеджмент,Управление бизнесом,Факультет социально-экономических и компьютерных наук Пермского филиала ВШЭ,Бакалавриат,Пермский филиал Национального исследовательского университета «Высшая школа экономики»,Пермь,,100.0,350000.0,,,0.0,Дистанционная,Русский,государственный,,0.0,12.765691290604371,0,0,0,0
1012,38.03.02 | Менеджмент,Управление бизнесом,Школа экономики и менеджмента НИУ ВШЭ в Санкт-Петербурге,Бакалавриат,Национальный исследовательский университет «Высшая школа экономики» — Санкт-Петербург,Санкт-Пете..,60.0,200.0,550000.0,283.0,,0.0,Очная,Русский,государственный,260.0,0.23076923076923078,13.217675375388819,0,0,1,2
1013,38.03.02 | Менеджмент,Управление бизнесом,Факультет Барнаульского филиала ФУ при Правительстве РФ,Бакалавриат,Алтайский филиал Финансового университета при Правительстве Российской Федерации,Барнаул,3.0,30.0,74700.0,208.0,,0.0,Дистанционная,Русский,государственный,33.0,0.09090909090909091,11.221248757912162,0,0,2,1
1014,38.03.02 | Менеджмент,Управление бизнесом,Факультет Барнаульского филиала ФУ при Правительстве РФ,Бакалавриат,Алтайский филиал Финансового университета при Правительстве Российской Федерации,Барнаул,,40.0,74700.0,,110.0,0.0,Дистанционная,Русский,государственный,,0.0,11.221248757912162,0,0,2,1
1015,38.03.02 | Менеджмент,Управление бизнесом,Факультет Барнаульского филиала ФУ при Правительстве РФ,Бакалавриат,Алтайский филиал Финансового университета при Правительстве Российской Федерации,Барнаул,,2.0,74700.0,,110.0,0.0,Дистанционная,Русский,государственный,,0.0,11.221248757912162,0,0,2,1
1016,38.03.02 | Менеджмент,Управление бизнесом,Факультет Владикавказского филиала ФУ при Правительстве РФ,Бакалавриат,Владикавказский филиал Финансового университета при Правительстве Российской Федерации,Владикавка..,,28.0,82800.0,,85.0,0.0,Очно-заочная,Русский,государственный,,0.0,11.324195417595107,0,0,2,1
1017,38.03.02 | Менеджмент,Управление бизнесом,Факультет Владимирского филиала ФУ при Правительстве РФ,Бакалавриат,Владимирский филиал Финансового университета при Правительстве Российской Федерации,Владимир,7.0,8.0,159300.0,181.0,85.0,0.0,Очная,Русский,государственный,15.0,0.4666666666666667,11.978550773342342,0,0,0,0
1018,38.03.02 | Менеджмент,Управление бизнесом,Факультет управления и бизнес-технологии Калужского филиала ФУ при Правительстве РФ,Бакалавриат,Калужский филиал Финансового университета при Правительстве Российской Федерации,Калуга,4.0,61.0,173000.0,274.0,,0.0,Очная,Русский,государственный,65.0,0.06153846153846154,12.06105265381003,0,0,2,1
